"Equipment","Model","S/N","Cal Date","Stations","Group"
"Rosette","36-place","Yellow","–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"CTD","SBE9+",1281,"–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Pressure Sensor","Digiquartz",136428,"Dec 7, 2021","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Primary Temperature","SBE3+",35046,"Mar 2, 2022","|FIRST_STA|-8",":term:`STS`/:term:`ODF`"
"Primary Temperature","SBE3+",34941,"Mar 9, 2022","9-40",":term:`STS`/:term:`ODF`"
"Primary Temperature","SBE3+",36049,"Mar 17, 2022","41-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Primary Conductivity","SBE4C",43578,"Mar 22, 2022","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Primary Pump","SBE5",51892,"–","|FIRST_STA|-41,51-|LAST_STA|",":term:`UCSD`"
"Primary Pump","SBE5",53626,"–","41-50",":term:`UCSD`"
"Secondary Temperature","SBE3+",34941,"Mar 9, 2022","|FIRST_STA|-8",":term:`STS`/:term:`ODF`"
"Secondary Temperature","SBE3+",36018,"Mar 3, 2022","9-40",":term:`STS`/:term:`ODF`"
"Secondary Temperature","SBE3+",34138,"Mar 17, 2022","41-|LAST-STA|",":term:`STS`/:term:`ODF`"
"Secondary Conductivity","SBE4C",42569,"Mar 17, 2022","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Secondary Pump","SBE5",51871,"–","|FIRST_STA|-42",":term:`UCSD`"
"Secondary Pump","SBE5",58692,"–","42-50",":term:`UCSD`"
"Secondary Pump","SBE5",53626,"–","51-|LAST-STA|,":term:`UCSD`"
"Transmissometer","Cstar","1873DR","Jan 5, 2022","|FIRST_STA|-|LAST_STA|",":term:`TAMU`"
"Fluorometer Chlorophyll","WetLabs ECO-FL-RTD","4334","–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Dissolved Oxygen","SBE43",430060,"Mar 15, 2022","|FIRST_STA|-32",":term:`ODF`"
"Dissolved Oxygen","SBE43",430185,"Mar 15, 2022","32-93",":term:`ODF`"
"Dissolved Oxygen","SBE43",431508,"Oct 8, 2021","94-|LAST_STA|",":term:`ODF`"
"Oxygen Optode","JFE Advantech Rinko-III",0296,"Apr 7, 2017","|FIRST_STA|-10",":term:`ODF`"
"Oxygen Optode","JFE Advantech Rinko-III",0251,"Apr 7, 2017","11-|LAST-STA|",":term:`ODF`"
"Reference Temperature","SBE35",0105,"Mar 15, 2022","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Carousel","SBE32","1178","–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Altimeter","Valeport 500",53821,"–","|FIRST_STA|-|LAST_STA|",":term:`UCSD`"
"UVP","–",201,"–","|FIRST_STA|-|LAST_STA|",":term:`UAF`"
"Chipods","Chipod","2014 Ti44-8","–","|FIRST_STA|-|LAST_STA|",":term:`OSU`"
"Chipods","Chipod","2013 TI44-12","–","|FIRST_STA|-|LAST_STA|",":term:`OSU`"
"Chipods","Chipod","2032 Ti44-15","–","|FIRST_STA|-|LAST_STA|",":term:`OSU`"
